id_nestbox;coord_x;coord_y;lsource_0_m;lsource_0_iq;lsource_10_m;lsource_10_iq;lflux_0_m;lflux_0_iq;lflux_10_m;lflux_10_iq;lsource_vs150_m;lsource_vs150_iq;noise_m;noise_iq;soft_manag_area;trafic;woodyveg_volume;woodyveg_sd;vegetation_area;herbaceous_area;built_area;age_class;site;strata_div
DIJ-021B;855574,9273;6693303,12;5;6,5;22;8;111,2726013;200,5969483;119,6770248;214,8875928;12;11;55,39083862;13,41982651;0;6011381,272;149537,5607;4,782637073;33621;13799;11879;1;bd_strasbourg;
DIJ-022;854453,5983;6691634,319;5;9;27;13;63,92397406;110,6988756;84,20998838;95,92759462;16;15;54,93808746;9,1263237;0;2327368,148;128804,1827;4,488115787;29218;12043;14274;1;chevreul;
DIJ-022B;855611,9586;6693310,615;6;7;23;6;111,2726013;194,9494455;125,2173993;186,9819727;12;12;56,36224747;12,35076523;0;5779573,778;144457,4595;4,692954992;32526;12987;12017;0;bd_strasbourg;1
DIJ-023;854493,9217;6691763,909;10,5;17;43;34,5;91,25042166;197,466881;125,4635325;172,4147235;28;26;55,06135178;11,59872627;0;1827272,763;191989,892;4,514724866;34427;13386;12158;1;chevreul;
DIJ-023B;855667,5656;6693343,38;6;7;24;5,5;67,03675304;152,9839783;150,0634022;167,6772983;14;13;57,64204025;11,35879517;0;5179793,461;141867,0667;4,03570418;32639;12595;10229;1;bd_strasbourg;3
DIJ-024;854482,7307;6691725,773;9;12;35;28;75,44405043;168,6732267;118,5128521;151,2183512;24;24;55,7961998;10,69557571;0;2368857,404;186360,046;4,511668566;33150;12907;11957;1;chevreul;
DIJ-024B;855695,8456;6693396,874;4;6,5;23;8,5;47,02146973;148,5998939;100,3696713;180,1528737;14;13;56,81454468;12,17601395;0;4213914,7;140618,6472;3,931137489;32912;13497;8345;1;bd_strasbourg;
DIJ-025;854851,2002;6692270,295;4;6;15;10;38,54182447;183,0771483;53,96851247;192,1886237;6;10;53,1744194;16,32299805;0;5124584,921;69004,78885;4,54776663;18170;8287;19477;2;prison;2
DIJ-026;854843,4932;6692326,892;4;7;15;6;52,20543111;245,9154959;97,71396421;248,531046;7;10;55,95565796;14,89881134;0;5933167,8;81100,10609;4,384951349;19314;7949;18325;2;prison;2
DIJ-027;855404,9432;6692752,513;4;4,5;18;6;61,86694693;122,9876573;69,18913029;101,4764461;10;9;55,26514435;8,828037262;0;4464706,049;206113,8418;6,190623519;36525;12085;11534;2;sq_creux_denfer;
DIJ-028;855467,081;6692746,365;4;7,5;18;5,5;49,30011429;113,5209343;54,12757687;83,78179548;9;8;55,07812881;8,947917938;367,8153343;4149246,586;194363,2106;6,290769837;34717;12021;12153;2;sq_creux_denfer;2
DIJ-029;855477,3235;6692811,725;4;5,5;15,5;5;78,9887069;153,522373;62,76936904;93,11598803;8;8;56,02758789;9,604866028;367,8153343;5069883,338;178263,5953;6,300587155;31307;10663;13296;2;sq_creux_denfer;
