id_nestbox;year;date;laying_date;incubation_date;hatching_date;clutch_size;brood_size;fledgling_nb;success_manipulated;father_id;mother_id;species;mass;tarsus_length;wing_length
DIJ-031;2019;30/04/2019;27/03/2019;NA;NA;9;9;7;0;NA;NA;PM;17,57714285714286;18,6000000000000;47,0000000000000
DIJ-032;2020;03/05/2020;29/03/2020;NA;NA;9;9;9;0;NA;NA;CC;11,51500000000000;16,8700000000000;NA
DIJ-032;2021;06/05/2021;31/03/2021;08/04/2021;23/04/2021;10;8;8;0;NA;NA;CC;10,26625000000000;17,7237500000000;36,7500000000000
DIJ-033;2019;15/05/2019;13/04/2019;NA;NA;9;8;5;0;NA;NA;PM;13,50400000000000;NA;NA
DIJ-036;2020;10/05/2020;08/04/2020;NA;NA;9;9;7;0;NA;7636298;PM;12,12500000000000;19,6750000000000;NA
DIJ-036;2021;23/04/2021;05/04/2021;10/05/2021;NA;7;0;0;0;NA;NA;PM;NA;NA;NA
DIJ-037;2021;06/05/2021;03/04/2021;07/04/2021;23/04/2021;6;5;5;0;8876509;NA;PM;13,08800000000000;19,2300000000000;40,1000000000000
DIJ-038;2020;14/04/2020;NA;NA;NA;9;0;0;0;NA;NA;PM;NA;NA;NA
DIJ-039;2021;10/05/2021;23/04/2021;27/04/2021;NA;6;0;0;0;NA;NA;PM;NA;NA;NA
DIJ-040;2020;29/04/2020;23/03/2020;NA;NA;11;11;10;0;8382543;NA;PM;14,26000000000000;18,4100000000000;NA
DIJ-040;2021;12/05/2021;05/04/2021;12/04/2021;29/04/2021;9;9;9;0;NA;8877036;CC;10,67555555555556;16,8888888888889;38,6111111111111
DIJ-040;2022;04/05/2022;30/03/2022;06/04/2022;21/04/2022;9;9;10;1;NA;NA;PM;14,87600000000000;19,0530000000000;42,9500000000000
DIJ-041;2019;16/05/2019;10/04/2019;20/04/2019;03/05/2019;12;5;0;0;NA;NA;CC;NA;NA;NA
DIJ-041;2021;04/05/2021;31/03/2021;07/04/2021;21/04/2021;9;9;4;0;NA;NA;PM;13,27000000000000;16,9975000000000;32,3750000000000
DIJ-042;2020;12/05/2020;11/04/2020;NA;NA;8;8;5;0;8791966;NA;PM;15,77500000000000;18,0350000000000;NA
DIJ-044;2019;13/05/2019;10/04/2019;NA;NA;8;8;6;0;NA;8791391;PM;11,04166666666667;NA;NA
DIJ-044;2020;03/05/2020;24/03/2020;NA;NA;10;10;7;0;NA;NA;CC;8,75500000000000;15,7550000000000;NA
DIJ-044;2022;11/05/2022;08/04/2022;13/04/2022;28/04/2022;7;7;7;0;8877507;8877506;PM;16,60571428571428;20,3042857142857;48,5000000000000
DIJ-045;2019;10/05/2019;30/03/2019;08/04/2019;25/04/2019;11;11;0;0;NA;NA;PM;NA;NA;NA
DIJ-045;2021;18/05/2021;09/04/2021;18/04/2021;05/05/2021;11;11;5;0;NA;NA;CC;7,88600000000000;14,1120000000000;28,3000000000000
DIJ-045;2022;04/05/2022;30/03/2022;07/04/2022;21/04/2022;10;10;9;0;NA;NA;PM;15,52000000000000;19,4400000000000;42,1111111111111
DIJ-046;2021;11/05/2021;06/04/2021;14/04/2021;28/04/2021;10;10;7;0;8877029;8877030;PM;13,54000000000000;17,9828571428571;34,5714285714286
DIJ-046;2022;14/05/2022;11/04/2022;18/04/2022;01/05/2022;9;8;7;0;NA;NA;CC;10,29285714285714;17,0500000000000;40,1428571428571
DIJ-047;2019;10/05/2019;06/04/2019;NA;NA;7;5;4;0;NA;NA;PM;13,14500000000000;NA;NA
DIJ-047;2020;06/05/2020;05/04/2020;NA;NA;7;7;6;0;NA;8791997;PM;14,78000000000000;19,4000000000000;NA
DIJ-047;2022;14/05/2022;07/04/2022;17/04/2022;01/05/2022;12;12;5;0;NA;NA;CC;9,20000000000000;16,9040000000000;38,7000000000000
DIJ-048;2019;05/05/2019;01/04/2019;NA;NA;10;10;5;0;NA;NA;PM;13,32800000000000;NA;NA
DIJ-048;2021;13/05/2021;09/04/2021;15/04/2021;30/04/2021;8;8;8;0;NA;NA;CC;8,31500000000000;16,4425000000000;34,6250000000000
DIJ-048;2022;11/05/2022;05/04/2022;15/04/2022;28/04/2022;9;9;9;0;NA;NA;CC;10,30000000000000;17,0244444444444;39,6666666666667
DIJ-049;2019;16/05/2019;09/04/2019;NA;NA;11;10;4;0;NA;8791761;CC;7,76750000000000;NA;NA
DIJ-049;2021;15/05/2021;13/04/2021;18/04/2021;02/05/2021;7;7;7;0;NA;8877050;PM;14,07714285714286;18,3914285714286;37,9285714285714
DIJ-049;2022;16/05/2022;14/04/2022;20/04/2022;03/05/2022;8;8;8;0;8877445;NA;PM;16,83625000000000;19,5087500000000;46,3125000000000
DIJ-050;2019;26/04/2019;22/03/2019;NA;NA;9;8;8;0;NA;NA;CC;7,86375000000000;15,2125000000000;33,0000000000000
DIJ-050;2021;04/05/2021;28/03/2021;06/04/2021;21/04/2021;11;10;5;0;NA;NA;CC;8,93600000000000;16,3220000000000;31,3000000000000
DIJ-050;2022;07/05/2022;31/03/2022;08/04/2022;24/04/2022;10;10;9;0;8877401;8876600;PM;13,47555555555556;18,3377777777778;43,7222222222222
