id_nestbox;site;year;breeding_window;laying_date;flight_date;clutch_size;brood_size;fledgling_nb;success_manipulated;father_id;mother_id;species;mass;tarsus_length;wing_length;cumdd_30;min_t_before;min_t_between;mean_winter_t;sd_winter_t;lsource_0_m;lsource_0_iq;lsource_10_m;lsource_10_iq;lflux_0_m;lflux_0_iq;lflux_10_m;lflux_10_iq;lsource_vs150_m;lsource_vs150_sd;noise_m;noise_iq;trafic;age_class;strata_div;woodyveg_volume;woodyveg_sd;vegetation_area;woody_area;herbaceous_area;soft_manag_area;open_area;built_area
DIJ-011;pascal_joffre;2020;early_2020;2020-03-29;2020-05-03;8;7;4;0;8791857;"NA";PM;17,67000000000000;20,3400000000000;NA;NA;NA;NA;NA;NA;135;13,00;945;3625;55,753341885138703;128,590745096311991;110663899091836;10589426930715;13;6,656350165747610;602324638366699;154191818237305;906201179857177;1;1;154770311538696;542925231778738;35536;17678;17858;0,00000000000000e+00;27379;7438
DIJ-011;pascal_joffre;2021;early_2021;2021-03-26;2021-04-27;8;7;4;0;"NA";8791927;PM;13,15250000000000;19,4850000000000;34,5000000000000;NA;NA;NA;NA;NA;135;13,00;945;3625;55,753341885138703;128,590745096311991;110663899091836;10589426930715;13;6,656350165747610;602324638366699;154191818237305;906201179857177;1;1;154770311538696;542925231778738;35536;17678;17858;0,00000000000000e+00;27379;7438
DIJ-012B;pascal_joffre;2021;early_2021;2021-03-30;2021-05-05;5;3;3;0;"NA";8876506;PM;17,46333333333333;19,4333333333333;46,1666666666667;NA;NA;NA;NA;NA;12;14,00;99;38;55,187201763901903;131,980712193366998;113788577821298;111924184150554;14;7,234777081545360;603917922973633;154178972244263;981910077825304;1;2;129041357040405;546406570382994;30708;15218;15490;0,00000000000000e+00;30782;8863
DIJ-013;pascal_joffre;2021;late_2021;2021-04-05;2021-05-15;10;10;7;0;"NA";"NA";CC;7,82571428571429;15,4585714285714;31,3571428571429;NA;NA;NA;NA;NA;10;16,00;83;24;41,080190425899197;65,070040312816104;883174032192081;766555770268256;11;6,194506942381840;596105537414551;115245504379272;741714093785712;1;1;135946042373657;509545000927809;36179;18133;18046;0,00000000000000e+00;25546;8628
DIJ-015;pascal_joffre;2019;early_2019;2019-04-02;2019-05-05;8;8;6;0;"NA";"NA";PM;15,19000000000000;NA;NA;NA;NA;NA;NA;NA;10;16,00;83;2625;41,538665179408802;82,686758484842002;857866428061737;810514012040815;12;6,829651375323350;588909950256348;158252220153809;789729978737971;1;2;136039701721191;524729468461545;33389;16731;16658;0,00000000000000e+00;27611;9353
DIJ-015;pascal_joffre;2022;early_2022;2022-04-01;2022-05-06;8;8;5;0;"NA";8876590;PM;15,76800000000000;19,2180000000000;46,6000000000000;NA;NA;NA;NA;NA;10;16,00;83;2625;41,538665179408802;82,686758484842002;857866428061737;810514012040815;12;6,829651375323350;588909950256348;158252220153809;789729978737971;1;2;136039701721191;524729468461545;33389;16731;16658;0,00000000000000e+00;27611;9353
DIJ-016;chevreul;2019;late_2019;2019-04-04;2019-05-10;11;10;0;0;"NA";"NA";CC;NA;NA;NA;NA;NA;NA;NA;NA;10;20,00;127;56;58,844362035025100;104,619315806352006;959057320431712;987596439441034;13;10,870037575053100;537812957763672;102025146484375;224885520845729;2;3;120426116271973;447918741088607;26057;15860;10197;0,00000000000000e+00;28548;15748
DIJ-016;chevreul;2021;late_2021;2021-04-05;2021-05-13;12;10;2;0;"NA";"NA";CC;6,03500000000000;12,0100000000000;17,5000000000000;NA;NA;NA;NA;NA;10;20,00;127;56;58,844362035025100;104,619315806352006;959057320431712;987596439441034;13;10,870037575053100;537812957763672;102025146484375;224885520845729;2;3;120426116271973;447918741088607;26057;15860;10197;0,00000000000000e+00;28548;15748
DIJ-017;chevreul;2019;early_2019;2019-03-27;2019-05-01;8;6;0;0;"NA";"NA";PM;NA;NA;NA;NA;NA;NA;NA;NA;7;17,00;128;44;53,841823322116099;105,628601032256000;9594394789724;891563644316483;12;8,655895282380021;53572696685791;115252418518066;24624405959238;2;2;107340657028198;445795993595706;25764;15737;10027;0,00000000000000e+00;29498;15091
DIJ-017;chevreul;2021;early_2021;2021-03-31;2021-05-05;8;8;2;0;8876505;7581728;PM;16,88000000000000;18,8800000000000;47,0000000000000;NA;NA;NA;NA;NA;7;17,00;128;44;53,841823322116099;105,628601032256000;9594394789724;891563644316483;12;8,655895282380021;53572696685791;115252418518066;24624405959238;2;2;107340657028198;445795993595706;25764;15737;10027;0,00000000000000e+00;29498;15091
