id_nestbox;site;coord_x;coord_y;year;dist;species;breeding_window;laying_date;flight_date;clutch_size;brood_size;fledgling_nb;mass;tarsus_length;wing_length;father_id;father_cond;mother_id;mother_cond;cumdd_30;cumdd_60;cumdd_between;min_t_before;min_t_between;mean_winter_t;sd_winter_t;lsource_0_m;lsource_0_iq;lsource_10_m;lsource_10_iq;lflux_0_m;lflux_0_iq;lflux_10_m;lflux_10_iq;lsource_vs150_m;lsource_vs150_iq;noise_m;noise_iq;trafic;age_class;strata_div;woodyveg_volume;woodyveg_sd;woody_area;vegetation_area;herbaceous_area;soft_manag_area;built_area;build_volume;build_sd;open_area;water_area
DIJ-002;drapeau;854216,3624;6694982,501;2020;50;CC;late_2020;2020-04-10;2020-05-15;11;10,00000000000000;0;NA;NA;NA;NA;NA;NA;NA;299,940000000000;525,330000000000;519,880000000000;-0,088000000000000;4,0890000000000004;5,91113105726872;3,72956499571859;9,0;7,00;34,0;8,75;78,887935190;143,199549200;60,956209900;24,293597420;26;10,00;46,83833313;3,361381531;0,000000;1;3;33896,993290;6,679973845;3053;5687;2634;0,000000000;367;6,096454468e+03;4,632947318;1796;0
DIJ-002;drapeau;854216,3624;6694982,501;2020;100;CC;late_2020;2020-04-10;2020-05-15;11;10,00000000000000;0;NA;NA;NA;NA;NA;NA;NA;299,940000000000;525,330000000000;519,880000000000;-0,088000000000000;4,0890000000000004;5,91113105726872;3,72956499571859;12,0;10,50;31,0;17,50;23,665143040;89,270977750;53,081542240;42,528592990;23;15,00;47,41398239;6,013481140;0,000000;1;3;100298,493400;5,862361073;10101;17296;7195;0,000000000;4985;4,596963080e+04;5,269059884;9119;0
DIJ-002;drapeau;854216,3624;6694982,501;2020;150;CC;late_2020;2020-04-10;2020-05-15;11;10,00000000000000;0;NA;NA;NA;NA;NA;NA;NA;299,940000000000;525,330000000000;519,880000000000;-0,088000000000000;4,0890000000000004;5,91113105726872;3,72956499571859;8,0;10,00;30,0;23,00;23,957528540;115,396979300;58,095258500;99,303842830;17;18,00;50,52351761;13,193679810;2673881,874000;1;3;137846,803900;5,608512507;15764;26825;11061;0,000000000;14135;1,059232808e+05;4,416308090;29690;0
DIJ-002;drapeau;854216,3624;6694982,501;2020;200;CC;late_2020;2020-04-10;2020-05-15;11;10,00000000000000;0;NA;NA;NA;NA;NA;NA;NA;299,940000000000;525,330000000000;519,880000000000;-0,088000000000000;4,0890000000000004;5,91113105726872;3,72956499571859;6,0;11,00;29,0;24,00;40,365968690;117,333132200;65,799106380;99,303842830;14;18,00;53,71529007;14,062294010;5465213,997000;1;3;185404,111900;5,373756527;23366;40883;17517;0,000000000;27901;2,320409421e+05;5,104034561;56816;0
DIJ-003;drapeau;854265,8611;6694974,876;2021;50;CC;late_2021;2021-04-12;2021-05-20;13;13,00000000000000;6;7,75333333333333;14,8100000000000;26,1666666666667;NA;NA;NA;NA;250,525816666667;468,986044920635;428,680000000000;-1,493128888888889;1,5600000000000001;5,29520661157025;3,70277426379500;8,0;11,25;23,5;10,25;23,678585590;35,050456320;35,680276750;24,540181530;17;11,00;46,39631653;4,841625214;0,000000;1;3;19256,971410;5,079209191;2205;3632;1427;0,000000000;854;1,197804169e+04;4,797084287;3364;0
DIJ-003;drapeau;854265,8611;6694974,876;2021;100;CC;late_2021;2021-04-12;2021-05-20;13;13,00000000000000;6;7,75333333333333;14,8100000000000;26,1666666666667;NA;NA;NA;NA;254,688466666667;471,881600000000;428,680000000000;-1,573759999999998;1,5600000000000001;5,29520661157025;3,70277426379500;10,0;11,00;27,0;15,50;15,313122950;44,168753720;35,577964410;32,106122980;15;16,00;47,27006912;5,365875244;507272,821300;1;3;93352,614970;5,863015771;8927;15271;6344;0,000000000;6234;5,336587613e+04;5,136006096;9895;0
DIJ-003;drapeau;854265,8611;6694974,876;2021;150;CC;late_2021;2021-04-12;2021-05-20;13;13,00000000000000;6;7,75333333333333;14,8100000000000;26,1666666666667;NA;NA;NA;NA;250,235033333334;468,067619444444;428,680000000000;-1,400559999999999;1,5600000000000001;5,29520661157025;3,70277426379500;6,5;11,00;26,0;23,00;20,481028780;83,703985810;49,095961940;50,918809190;13;18,00;51,10430527;13,306755070;2145643,248000;1;3;147841,829100;5,490568892;16547;28112;11565;0,000000000;14701;1,313897779e+05;4,931747835;27837;0
DIJ-003;drapeau;854265,8611;6694974,876;2021;200;CC;late_2021;2021-04-12;2021-05-20;13;13,00000000000000;6;7,75333333333333;14,8100000000000;26,1666666666667;NA;NA;NA;NA;252,389641666667;471,701950000000;428,680000000000;-1,284773333333332;1,5600000000000001;5,29520661157025;3,70277426379500;6,0;11,00;27,0;23,00;51,680181560;122,128788000;66,535774830;98,492299300;15;16,00;55,52447128;13,733348850;6294514,517000;1;3;186498,410200;5,408657406;22702;38885;16183;0,000000000;27816;2,347231871e+05;4,935210120;58899;0
DIJ-004;drapeau;854281,4983;6695007,239;2019;50;CC;early_2019;2019-04-01;2019-05-05;12;11,00000000000000;4;7,80750000000000;NA;NA;NA;NA;NA;NA;273,460000000000;471,350000000000;369,340000000000;-0,479000000000000;-0,1990000000000000;5,91113105726872;3,72956499571859;10,0;8,00;22,0;11,00;23,399642650;34,646575020;30,856786200;28,173879460;17;9,00;46,78693771;2,682937622;0,000000;1;2;33685,632900;5,091425973;3514;5768;2254;0,000000000;405;3,462072937e+03;6,006668805;1677;0
DIJ-004;drapeau;854281,4983;6695007,239;2019;100;CC;early_2019;2019-04-01;2019-05-05;12;11,00000000000000;4;7,80750000000000;NA;NA;NA;NA;NA;NA;273,460000000000;471,350000000000;369,340000000000;-0,479000000000000;-0,1990000000000000;5,91113105726872;3,72956499571859;7,0;11,00;25,0;16,00;15,313122950;44,168753720;40,503767310;27,885585550;14;15,00;47,79946136;8,593624115;1001148,513000;1;2;87533,598510;5,466023940;8977;14899;5922;0,000000000;5404;4,582583589e+04;5,125273709;11097;0
DIJ-004;drapeau;854281,4983;6695007,239;2019;150;CC;early_2019;2019-04-01;2019-05-05;12;11,00000000000000;4;7,80750000000000;NA;NA;NA;NA;NA;NA;273,460000000000;471,350000000000;369,340000000000;-0,479000000000000;-0,1990000000000000;5,91113105726872;3,72956499571859;7,0;11,00;28,0;24,00;23,665143040;80,549436780;53,081542240;63,994954450;13;17,00;50,55949783;13,008647920;2315869,852000;1;2;132946,954800;5,665585928;14836;25295;10459;0,000000000;16007;1,490396404e+05;4,949651232;29348;0
DIJ-004;drapeau;854281,4983;6695007,239;2019;200;CC;early_2019;2019-04-01;2019-05-05;12;11,00000000000000;4;7,80750000000000;NA;NA;NA;NA;NA;NA;273,460000000000;471,350000000000;369,340000000000;-0,479000000000000;-0,1990000000000000;5,91113105726872;3,72956499571859;6,0;10,00;27,5;22,50;52,797163690;120,263784800;68,258595670;94,273782160;15;16,00;54,51708603;13,378711700;6250591,157000;1;2;169770,004300;5,473433050;21349;37832;16483;0,000000000;29472;2,527709223e+05;4,964016401;58296;0
DIJ-004;drapeau;854281,4983;6695007,239;2020;50;PM;late_2020;2020-04-03;2020-05-05;7;6,00000000000000;6;17,32500000000000;19,1850000000000;NA;NA;0,179062492169293680;8791875;-1,86412651536191e+00;259,180000000000;487,750000000000;473,530000000000;-0,088000000000000;2,9300000000000002;5,91113105726872;3,72956499571859;10,0;8,00;22,0;11,00;23,399642650;34,646575020;30,856786200;28,173879460;17;9,00;46,78693771;2,682937622;0,000000;1;2;33685,632900;5,091425973;3514;5768;2254;0,000000000;405;3,462072937e+03;6,006668805;1677;0
DIJ-004;drapeau;854281,4983;6695007,239;2020;100;PM;late_2020;2020-04-03;2020-05-05;7;6,00000000000000;6;17,32500000000000;19,1850000000000;NA;NA;0,109154515763393217;8791875;-1,86412651536191e+00;259,180000000000;487,750000000000;473,530000000000;-0,088000000000000;2,9300000000000002;5,91113105726872;3,72956499571859;7,0;11,00;25,0;16,00;15,313122950;44,168753720;40,503767310;27,885585550;14;15,00;47,79946136;8,593624115;1001148,513000;1;2;87533,598510;5,466023940;8977;14899;5922;0,000000000;5404;4,582583589e+04;5,125273709;11097;0
DIJ-004;drapeau;854281,4983;6695007,239;2020;150;PM;late_2020;2020-04-03;2020-05-05;7;6,00000000000000;6;17,32500000000000;19,1850000000000;NA;NA;-0,275527326527557070;8791875;-1,86412651536191e+00;259,180000000000;487,750000000000;473,530000000000;-0,088000000000000;2,9300000000000002;5,91113105726872;3,72956499571859;7,0;11,00;28,0;24,00;23,665143040;80,549436780;53,081542240;63,994954450;13;17,00;50,55949783;13,008647920;2315869,852000;1;2;132946,954800;5,665585928;14836;25295;10459;0,000000000;16007;1,490396404e+05;4,949651232;29348;0
DIJ-004;drapeau;854281,4983;6695007,239;2020;200;PM;late_2020;2020-04-03;2020-05-05;7;6,00000000000000;6;17,32500000000000;19,1850000000000;NA;NA;-0,412200749342703343;8791875;-1,86412651536191e+00;259,180000000000;487,750000000000;473,530000000000;-0,088000000000000;2,9300000000000002;5,91113105726872;3,72956499571859;6,0;10,00;27,5;22,50;52,797163690;120,263784800;68,258595670;94,273782160;15;16,00;54,51708603;13,378711700;6250591,157000;1;2;169770,004300;5,473433050;21349;37832;16483;0,000000000;29472;2,527709223e+05;4,964016401;58296;0
DIJ-005;drapeau;854299,6004;6695042,367;2021;50;PM;late_2021;2021-04-18;2021-05-19;7;5,00000000000000;5;16,05200000000000;19,7140000000000;40,8000000000000;8876548;0,250867283933341678;NA;-6,11919005343093e-01;252,799900000000;476,704355555555;351,310000000000;-1,642462222222220;1,5600000000000001;5,29520661157025;3,70277426379500;13,0;2,25;19,5;8,00;11,856243850;9,454223640;31,860696150;11,600763830;13;9,50;48,04103088;6,666225433;16834,261950;1;3;29116,760100;4,889156843;3042;4583;1541;0,000000000;1332;7,951653351e+03;2,500011289;1935;0
DIJ-005;drapeau;854299,6004;6695042,367;2021;100;PM;late_2021;2021-04-18;2021-05-19;7;5,00000000000000;5;16,05200000000000;19,7140000000000;40,8000000000000;8876548;0,250867283933341678;NA;-7,08994079846882e-01;253,860500000000;477,312466666667;351,310000000000;-1,446782666666666;1,5600000000000001;5,29520661157025;3,70277426379500;4,0;11,00;20,0;13,00;15,313122950;29,380348620;40,503767310;36,018823340;13;15,00;47,99477386;13,424964900;1346031,184000;1;3;66256,704960;4,910557997;7486;12436;4950;0,000000000;6585;6,684758730e+04;5,451453151;12379;0
DIJ-005;drapeau;854299,6004;6695042,367;2021;150;PM;late_2021;2021-04-18;2021-05-19;7;5,00000000000000;5;16,05200000000000;19,7140000000000;40,8000000000000;8876548;0,250867283933341678;NA;-6,75685097931895e-01;253,050333333334;469,086366666666;351,310000000000;-1,466050000000001;1,5600000000000001;5,29520661157025;3,70277426379500;8,0;10,00;27,0;18,00;23,957528540;69,037131440;55,050341510;40,225202930;14;15,00;50,24083328;14,190784450;3077566,498000;1;3;119109,851300;5,584339471;14112;24097;9985;0,000000000;16705;1,440366406e+05;5,232253373;29848;0
DIJ-005;drapeau;854299,6004;6695042,367;2021;200;PM;late_2021;2021-04-18;2021-05-19;7;5,00000000000000;5;16,05200000000000;19,7140000000000;40,8000000000000;8876548;0,250867283933341678;NA;-5,88853988121121e-01;253,253666666667;475,352333333334;351,310000000000;-1,213043333333334;1,5600000000000001;5,29520661157025;3,70277426379500;6,0;10,00;29,0;23,00;49,576757780;89,855535040;66,535774830;76,342818570;15;16,00;53,98255539;13,152561190;5582402,097000;1;3;157588,539100;5,581284287;20717;36964;16247;0,000000000;30221;2,673522848e+05;5,146641147;58415;0
